name,accuracy_test,accuracy_val,accuracy_train,num_LSTM,num_Dense_1,num_Dense_2,batch_size,reshape
MFCC-64,0.495,0.5025,0.5266666666666666,5,8,8,32,True
MFCC-64,0.49,0.5,0.5441666666666667,5,8,8,32,False
MFCC-64,0.4925,0.5075,0.5291666666666667,5,8,32,32,True
MFCC-64,0.5,0.5,0.5,5,8,32,32,False
MFCC-64,0.5,0.5,0.5,5,32,8,32,True
MFCC-64,0.5,0.5,0.5,5,32,8,32,False
MFCC-64,0.4875,0.4875,0.5116666666666667,5,32,32,32,True
MFCC-64,0.4525,0.48,0.5616666666666666,5,32,32,32,False
MFCC-64,0.5,0.5,0.5,10,8,8,32,True
MFCC-64,0.4925,0.4875,0.5441666666666667,10,8,8,32,False
MFCC-64,0.5,0.5,0.5,10,8,32,32,True
MFCC-64,0.4925,0.51,0.5908333333333333,10,8,32,32,False
MFCC-64,0.5,0.5,0.5,10,32,8,32,True
MFCC-64,0.5,0.5,0.5066666666666667,10,32,8,32,False
MFCC-64,0.4875,0.495,0.5658333333333333,10,32,32,32,True
MFCC-64,0.5225,0.5075,0.5733333333333334,10,32,32,32,False
MFCC-64,0.535,0.52,0.6175,30,8,8,32,True
MFCC-64,0.5,0.51,0.5416666666666666,30,8,8,32,False
MFCC-64,0.53,0.51,0.6791666666666667,30,8,32,32,True
MFCC-64,0.4925,0.5125,0.6191666666666666,30,8,32,32,False
MFCC-64,0.48,0.47,0.5508333333333333,30,32,8,32,True
MFCC-64,0.5225,0.5175,0.595,30,32,8,32,False
MFCC-64,0.5375,0.515,0.6516666666666666,30,32,32,32,True
MFCC-64,0.4975,0.4925,0.5466666666666666,30,32,32,32,False
MFCC-64,0.5125,0.505,0.54,50,8,8,32,True
MFCC-64,0.5275,0.53,0.6616666666666666,50,8,8,32,False
MFCC-64,0.5125,0.525,0.6541666666666667,50,8,32,32,True
MFCC-64,0.5025,0.5025,0.5033333333333333,50,8,32,32,False
MFCC-64,0.525,0.4925,0.6441666666666667,50,32,8,32,True
MFCC-64,0.4975,0.53,0.6566666666666666,50,32,8,32,False
MFCC-64,0.555,0.545,0.6225,50,32,32,32,True
MFCC-64,0.4825,0.5075,0.77,50,32,32,32,False
MFCC-48,0.5,0.5,0.5,5,8,8,32,True
MFCC-48,0.5075,0.5025,0.59,5,8,8,32,False
MFCC-48,0.46,0.525,0.53,5,8,32,32,True
MFCC-48,0.495,0.4925,0.5358333333333334,5,8,32,32,False
MFCC-48,0.4875,0.495,0.5141666666666667,5,32,8,32,True
MFCC-48,0.5,0.5,0.5,5,32,8,32,False
MFCC-48,0.5,0.5,0.5,5,32,32,32,True
MFCC-48,0.5,0.5,0.5,5,32,32,32,False
MFCC-48,0.5325,0.5525,0.5958333333333333,10,8,8,32,True
MFCC-48,0.485,0.47,0.585,10,8,8,32,False
MFCC-48,0.49,0.555,0.6108333333333333,10,8,32,32,True
MFCC-48,0.52,0.49,0.5225,10,8,32,32,False
